Эффективность относительно других 0;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;1965;91
2;0,2;SearchWidthPlus;1339;129
3;0,3;SearchDepthPlus;116;10
4;0,4;SearchDepth;113;11
Эффективность относительно других 1;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;1966;90
2;0,2;SearchWidthPlus;1340;128
3;0,3;SearchDepth;147;10
4;0,4;SearchDepthPlus;141;11
Эффективность относительно других 2;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;1967;89
2;0,2;SearchWidthPlus;1341;127
3;0,3;SearchDepthPlus;174;10
4;0,4;SearchDepth;173;11
Эффективность относительно других 3;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;1968;88
2;0,2;SearchWidthPlus;1342;126
3;0,3;SearchDepthPlus;193;8
4;0,4;SearchDepth;191;9
Эффективность относительно других 4;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;1969;87
2;0,2;SearchWidthPlus;1343;125
3;0,3;SearchDepthPlus;259;12
4;0,4;SearchDepth;255;14
Эффективность относительно других 5;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;1970;86
2;0,2;SearchWidthPlus;1344;124
3;0,3;SearchDepthPlus;307;11
4;0,4;SearchDepth;306;12
Эффективность относительно других 6;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;1971;85
2;0,2;SearchWidthPlus;1345;123
3;0,3;SearchDepth;316;10
4;0,4;SearchDepthPlus;313;11
Эффективность относительно других 7;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;1972;84
2;0,2;SearchWidthPlus;1346;122
3;0,3;SearchDepthPlus;369;10
4;0,4;SearchDepth;352;11
Эффективность относительно других 8;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;1973;83
2;0,2;SearchWidthPlus;1359;114
3;0,3;SearchDepth;383;10
4;0,4;SearchDepthPlus;379;10
Эффективность относительно других 9;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;1974;82
2;0,2;SearchWidthPlus;1360;113
3;0,3;SearchDepth;417;9
4;0,4;SearchDepthPlus;397;11
Эффективность относительно других 10;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,111111111111111;SearchWidth;1975;81
2;0,222222222222222;SearchWidthPlus;1361;112
3;0,333333333333333;SearchDepth;438;7
3;0,333333333333333;SearchDepthPlus;438;7
Эффективность относительно других 11;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;1976;80
2;0,2;SearchWidthPlus;1369;107
3;0,3;SearchDepthPlus;490;7
4;0,4;SearchDepth;481;9
Эффективность относительно других 12;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;1977;79
2;0,2;SearchWidthPlus;1370;106
3;0,3;SearchDepthPlus;543;10
4;0,4;SearchDepth;541;11
Эффективность относительно других 13;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,111111111111111;SearchWidth;1978;78
2;0,222222222222222;SearchWidthPlus;1378;102
3;0,333333333333333;SearchDepth;569;11
3;0,333333333333333;SearchDepthPlus;569;11
Эффективность относительно других 14;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;1979;77
2;0,2;SearchWidthPlus;1379;101
3;0,3;SearchDepth;574;10
4;0,4;SearchDepthPlus;573;11
Эффективность относительно других 15;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;1980;76
2;0,2;SearchWidthPlus;1380;100
3;0,3;SearchDepthPlus;589;11
4;0,4;SearchDepth;580;13
Эффективность относительно других 16;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;1981;75
2;0,2;SearchWidthPlus;1381;99
3;0,3;SearchDepth;611;8
4;0,4;SearchDepthPlus;599;10
Эффективность относительно других 17;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;1982;74
2;0,2;SearchWidthPlus;1391;94
