Эффективность относительно других 0;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;149;3
2;0,2;SearchWidthPlus;123;6
3;0,3;SearchDepthPlus;33;7
4;0,4;SearchDepth;31;8
Эффективность относительно других 1;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;150;2
2;0,2;SearchWidthPlus;124;5
3;0,3;SearchDepthPlus;76;3
4;0,4;SearchDepth;71;4
Эффективность относительно других 2;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,1;SearchWidth;151;1
2;0,2;SearchWidthPlus;126;3
3;0,3;SearchDepthPlus;92;3
4;0,4;SearchDepth;87;4
Эффективность относительно других 3;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,125;SearchWidth;152;0
2;0,25;SearchDepth;127;2
2;0,25;SearchWidthPlus;127;2
3;0,375;SearchDepthPlus;110;4




Номер результата;Лучшие алгоритмы;
0;SearchDepth;
1;SearchDepth;
2;SearchDepth;
3;SearchDepthPlus;




Рейтинг;Нормализованный рейтинг;Алгоритм;
1;0,10625;SearchWidth
2;0,2125;SearchWidthPlus
3;0,31875;SearchDepthPlus
3,5;0,3625;SearchDepth
