Эффективность относительно других 0;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,111111111111111;SearchWidth;15;1
2;0,222222222222222;SearchWidthPlus;11;2
3;0,333333333333333;SearchDepth;8;2
3;0,333333333333333;SearchDepthPlus;8;2
Эффективность относительно других 1;Нормализованная эффективность;Имя алгоритма;Номер состояния (результата);Количество отрытых вершин (ожидающих прохода);
1;0,142857142857143;SearchWidth;16;0
2;0,285714285714286;SearchDepth;12;1
2;0,285714285714286;SearchWidthPlus;12;1
2;0,285714285714286;SearchDepthPlus;12;1




Номер результата;Лучшие алгоритмы;
0;SearchDepth, SearchDepthPlus;
1;SearchDepth, SearchWidthPlus, SearchDepthPlus;




Рейтинг;Нормализованный рейтинг;Алгоритм;
1;0,126984126984127;SearchWidth
2;0,253968253968254;SearchWidthPlus
2,5;0,30952380952381;SearchDepth
2,5;0,30952380952381;SearchDepthPlus
